"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","firstObserved","Observer","iNatObsID","notes","ID","statsCode","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","recordCount"
"Pyura haustor",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",46
"Pyura mirabilis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2013-10-23","Andy Lamb","PMLS","",,,,,,,,"2013-10-23","Andy Lamb","PMLS","",1
"Rhabdocalyptus dawsoni",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2007-10-23","","iNaturalist","",,,,,,,,"2011-11-03","","iNaturalist","",35
"Rhabdus rectius",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03309",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03309",2
"Rhamphocottus richardsonii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",48
"Rhinogobiops nicholsii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",260
"Rhinolithodes wosnessenskii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1994-09-10","Andy Lamb","PMLS","",,,,,,,,"2017-03-18","Andy Lamb","PMLS","",46
"Rhizocaulus verticillatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-03-22","Andy Lamb","PMLS","",,,,,,,,"2011-11-18","Andy Lamb","PMLS","",5
"Rictaxis punctocaelatus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03322",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03322",1
"Ronquilus jordani",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2019-05-04","Larry Taylor","PMLS","",26
"Rossia pacifica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1994-02-27","Charlie Gibbs","PMLS","",,,,,,,,"2008-09-19","Andy Lamb","PMLS","",5
"Rostanga pulchra",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-05-27","","iNaturalist","",11
"Ruditapes philippinarum",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-08-21","","iNaturalist","",,,,,,,,"2023-05-28","","iNaturalist","",17
"Sagittoidea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1995-02-23","Charlie Gibbs","PMLS","",,,,,,,,"2009-04-04","Andy Lamb","PMLS","",5
"Salmacina tribranchiata",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2006-11-18","Andy Lamb","PMLS","",,,,,,,,"2006-11-18","Andy Lamb","PMLS","",1
"Sarsia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-04-13","Andy Lamb","PMLS","",,,,,,,,"2009-04-13","Andy Lamb","PMLS","",1
"Sarsia tubulosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1913-06-06","","RBCM","976-00141-001",,,,,,,,"2009-04-13","Andy Lamb","PMLS","",2
"Saxidomus gigantea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2006-06-23","Andy Lamb","PMLS","",,,,,,,,"2023-06-17","","iNaturalist","",30
"Scabrotrophon maltzani",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2019-03-11","Andy Lamb","PMLS","",19
"Schizobranchia insignis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-04-22","","iNaturalist","",16
"Schizoporella japonica",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2019-05-04","","iNaturalist","",60
"Schuchertinia allmanii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2006-12-02","Charlie Gibbs","PMLS","",3
"Schuchertinia milleri",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2018-06-19","Andy Lamb","PMLS","",35
"Scorpaenichthys marmoratus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2023-08-05","","iNaturalist","",53
"Scyra acutifrons",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",184
"Sebastes auriculatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2013-10-23","Andy Lamb","PMLS","",4
"Sebastes caurinus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",216
"Sebastes diploproa",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"1971-08-21","Andy Lamb","PMLS","",1
"Sebastes elongatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-22","Jackson W.F. Chu","Chu & Leys (2010)","",,,,,,,,"2011-11-03","","iNaturalist","",19
"Sebastes emphaeus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2023-08-09","","iNaturalist","",112
"Sebastes flavidus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2022-05-28","","iNaturalist","",40
"Sebastes maliger",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",227
"Sebastes melanops",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1993-08-16","Andy Lamb","PMLS","",,,,,,,,"2017-06-30","Andy Lamb","PMLS","",12
"Sebastes nigrocinctus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2017-08-22","Andy Lamb","PMLS","",76
"Sebastes proriger",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-05-22","Jackson W.F. Chu","Chu & Leys (2010)","",,,,,,,,"2011-11-03","","iNaturalist","",55
"Sebastes ruberrimus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-21","Andy Lamb","PMLS","",,,,,,,,"2017-08-22","Andy Lamb","PMLS","",71
"Semele rubropicta",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-10-07","Andy Lamb","PMLS","",,,,,,,,"2011-11-18","Andy Lamb","PMLS","",4
"Semibalanus cariosus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1994-09-10","Andy Lamb","PMLS","",,,,,,,,"2023-06-04","","iNaturalist","",21
"Semisuberites cribrosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2013-10-20","Andy Lamb","PMLS","",58
"Serpula columbiana",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-07-22","","iNaturalist","",214
"Sertularella sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",2
"Similiclava nivea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2019-03-11","Andy Lamb","PMLS","",68
"Solaster dawsoni",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2014-01-03","Andy Lamb","PMLS","",119
"Solaster endeca",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2006-06-23","Andy Lamb","PMLS","",,,,,,,,"2017-03-18","Andy Lamb","PMLS","",12
"Solaster stimpsoni",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2016-02-27","Andy Lamb","PMLS","",142
"Solen sicarius",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2007-12-09","Andy Lamb","PMLS","",,,,,,,,"2016-01-23","Andy Lamb","PMLS","",2
"Solidobalanus engbergi",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2008-11-09","","iNaturalist","",,,,,,,,"2008-11-09","","iNaturalist","",1
"Solmissus sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-04-04","Andy Lamb","PMLS","",,,,,,,,"2009-04-04","Andy Lamb","PMLS","",1
"Solmundaegina nematophora",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-04-04","Andy Lamb","PMLS","",,,,,,,,"2021-03-27","","iNaturalist","",2
"Spiochaetopterus costarum pottsi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2018-06-19","Andy Lamb","PMLS","",17
"Spirontocaris prionota",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1986-09-30","","RBCM","986-00197-023",,,,,,,,"1986-09-30","","RBCM","986-00197-023",1
"Squalus suckleyi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2023-08-09","","iNaturalist","",9
"Stagnicola sp.",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-07-13","","iNaturalist","",,,,,,,,"2017-03-18","","iNaturalist","",2
"Stomotoca atra",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2015-07-07","","iNaturalist","",,,,,,,,"2017-05-30","","iNaturalist","",2
"Stomphia coccinea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-04-27","Andy Lamb","PMLS","",,,,,,,,"2009-04-04","Andy Lamb","PMLS","",2
"Stomphia didemon",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1971-08-21","Andy Lamb","PMLS","",,,,,,,,"2017-08-22","Andy Lamb","PMLS","",32
"Strongylocentrotus droebachiensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",196
"Strongylocentrotus pallidus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1986-04-08","","RBCM","986-00191-013",,,,,,,,"2005-12-10","Andy Lamb","PMLS","",3
"Strongylocentrotus purpuratus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1986-04-08","","RBCM","986-00191-012",,,,,,,,"1986-04-08","","RBCM","986-00191-012",1
"Styela gibbsii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-07-29","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",50
"Styela montereyensis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1978-02-19","","iNaturalist","",,,,,,,,"2015-05-16","","iNaturalist","",2
"Stylantheca papillosa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1978-02-19","","iNaturalist","",,,,,,,,"2019-03-11","Andy Lamb","PMLS","",76
"Stylaster verrillii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2007-10-23","","iNaturalist","",,,,,,,,"2007-10-23","","iNaturalist","",2
"Stylasterias forreri",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2011-09-07","Andy Lamb","PMLS","",22
"Stylatula elongata",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-01-23","Andy Lamb","PMLS","",,,,,,,,"2023-04-22","","iNaturalist","",2
"Suberites concinnus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2012-08-09","Andy Lamb","PMLS","",9
"Suberites latus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2007-12-29","Andy Lamb","PMLS","",,,,,,,,"2008-09-19","Andy Lamb","PMLS","",2
"Sycon sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1994-10-07","Andy Lamb","PMLS","",,,,,,,,"2016-02-07","Andy Lamb","PMLS","",20
"Synchirus gilli",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1996-09-28","Charlie Gibbs","PMLS","",,,,,,,,"2009-01-04","Andy Lamb","PMLS","",3
"Syngnathus leptorhynchus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-08-06","","iNaturalist","",18
"Synoicum parfustis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1999-07-31","Charlie Gibbs","PMLS","",,,,,,,,"2008-05-30","Andy Lamb","PMLS","",3
"Tegula funebralis",,,,,,,,,,,,,,,,,,,,,,,,,"new 2019","observed","2019-05-05","","iNaturalist","",,,,,,,,"2019-05-05","","iNaturalist","",1
"Telmessus cheiragonus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1996-05-29","Charlie Gibbs","PMLS","",,,,,,,,"2023-06-27","","iNaturalist","",33
"Terebratalia transversa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"2019-05-05","Stefania Gorgopa","PMLS","",41
"Tethya californiana",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1981-05-31","Andy Lamb","PMLS","",,,,,,,,"1981-05-31","Andy Lamb","PMLS","",1
"Tetilla sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-05-21","Jackson W.F. Chu","Chu & Leys (2010)","",,,,,,,,"2009-10-03","Jackson W.F. Chu","Chu & Leys (2010)","",10
"Thelepus sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2021-12-05","","iNaturalist","",77
"Thorlaksonius brevirostris",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2012-02-11","","iNaturalist","",,,,,,,,"2012-02-11","","iNaturalist","",1
"Thracia trapezoides",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03313",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03313",1
"Thrombophyton trachydermum",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2009-01-30","Andy Lamb","PMLS","",,,,,,,,"2023-06-24","","iNaturalist","",4
"Thuiaria sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",63
"Thuiaria thuja",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2012-10-09","Andy Lamb","PMLS","",9
"Tochuina gigantea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2014-01-03","Andy Lamb","PMLS","",19
"Tomopteris sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2010-05-30","Andy Lamb","PMLS","",,,,,,,,"2021-04-11","","iNaturalist","",3
"Tonicella cf. undocaerulea",,,,,,,,,,,,,,,,,,,,,,,,,"reported","observed","2015-09-25","","iNaturalist","",,,,,,,,"2015-09-25","","iNaturalist","",1
"Tonicella insignis",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-06-14","Philip Lambert","RBCM","973-00137-004",,,,,,,,"2023-07-16","","iNaturalist","",92
"Tonicella lineata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",,,,,,,,"2023-07-03","","iNaturalist","",201
"Trachipterus altivelis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1965-08-20","Argue, A.W.","CMN","CMNFI 1968-1875.1",,,,,,,,"1965-08-20","Argue, A.W.","CMN","CMNFI 1968-1875.1",1
"Traskorchestia traskiana",,,,,,,,,,,,,,,,,,,,,,,,,"new 2017","observed","2017-03-30","","iNaturalist","",,,,,,,,"2017-03-30","","iNaturalist","",1
"Tresus capax",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",,,,,,,,"2022-05-19","","iNaturalist","",15
"Tresus nuttallii",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00317",,,,,,,,"2023-07-16","","iNaturalist","",9
"Trichotropis cancellata",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2017-03-18","Andy Lamb","PMLS","",12
"Trididemnum alexi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2006-06-30","Andy Lamb","PMLS","",3
"Triglops macellus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2013-10-20","Andy Lamb","PMLS","",,,,,,,,"2013-10-20","Andy Lamb","PMLS","",1
"Triopha catalinae",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-05-09","","iNaturalist","",,,,,,,,"2017-05-30","","iNaturalist","",2
"Triopha modesta",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"2023-09-10","","iNaturalist","",65
"Tripoplax trifida",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1999-07-31","Charlie Gibbs","PMLS","",,,,,,,,"2019-03-17","Andy Lamb","PMLS","",8
"Tritonia exsulans",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2006-12-02","Charlie Gibbs","PMLS","",,,,,,,,"2022-06-05","","iNaturalist","",7
"Tritonia festiva",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",,,,,,,,"2023-05-28","","iNaturalist","",45
"Trophonopsis orpheus",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03325",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03325",1
"Trypanedenta gemmipara",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1986-09-30","","RBCM","986-00197-017",,,,,,,,"1986-09-30","","RBCM","986-00197-017",1
"Trypanosyllis sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",,,,,,,,"1985-08-02","Andy Lamb","PMLS","",1
"Tubulanus albocinctus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1996-05-29","Charlie Gibbs","PMLS","",,,,,,,,"2009-06-12","Andy Lamb","PMLS","",2
"Tubulanus polymorphus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","2008-08-23","Andy Lamb","PMLS","",,,,,,,,"2023-06-14","","iNaturalist","",10
"Tubulanus sexlineatus",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-10-08","","iNaturalist","",15
"Tubularia indivisa",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-03-07","Andy Lamb","PMLS","",,,,,,,,"2010-11-12","Andy Lamb","PMLS","",9
"Turbonilla sp.",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03330",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03330",1
"Urticina clandestina",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-09-09","","iNaturalist","",103
"Urticina grebelnyi",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",,,,,,,,"2023-07-09","","iNaturalist","",131
"Velutina plicatilis",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03324",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03324",1
"Velutina velutina",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2008-03-07","Andy Lamb","PMLS","",,,,,,,,"2009-02-08","Andy Lamb","PMLS","",2
"Virgularia sp.",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1995-02-25","Charlie Gibbs","PMLS","",,,,,,,,"2021-09-05","","iNaturalist","",8
"Weberella perlucida",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2007-10-21","Andy Lamb","PMLS","",,,,,,,,"2008-08-23","Andy Lamb","PMLS","",2
"Xestospongia hispida",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","2005-12-10","Andy Lamb","PMLS","",,,,,,,,"2016-03-27","Andy Lamb","PMLS","",17
"Xiphister atropurpureus",,,,,,,,,,,,,,,,,,,,,,,,,"new 2021","observed","2021-05-26","","iNaturalist","",,,,,,,,"2023-06-04","","iNaturalist","",3
"Xiphister mucosus",,,,,,,,,,,,,,,,,,,,,,,,,"new 2020","observed","2020-08-15","","iNaturalist","",,,,,,,,"2020-08-15","","iNaturalist","",1
"Yoldia aeolica",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1917-06-29","","RBCM","991-00498-001",,,,,,,,"1961-06-22","Ian McTaggart-Cowan","RBCM","979-03306",3
"Yoldia hyperborea",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03304",,,,,,,,"1962-09-14","John Fleury","RBCM","991-00464-001",2
"Zalophus californianus",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-05-27","","iNaturalist","",,,,,,,,"2023-02-18","","iNaturalist","",13
"Zelentia nepunicea",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","observed","1982-05-21","Sandra Millen-Crane | Sandra","RBCM","983-00026-001",,,,,,,,"2014-04-08","","iNaturalist","",4
"Zemysina impolita",,,,,,,,,,,,,,,,,,,,,,,,,"confirmed","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00293",,,,,,,,"2010-04-18","Andy Lamb","PMLS","",2
"Ziminella japonica",,,,,,,,,,,,,,,,,,,,,,,,,"reported","unobserved","2009-02-08","Andy Lamb","PMLS","",,,,,,,,"2009-02-08","Andy Lamb","PMLS","",1
"Zirfaea pilsbryi",,,,,,,,,,,,,,,,,,,,,,,,,"new 2016","observed","2016-07-24","Andy Lamb","PMLS","",,,,,,,,"2023-06-04","","iNaturalist","",2
