Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Leproplaca obliterans,"(Nyl.) Arup, Frödén & Søchting",,firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Caloplacoideae,,Leproplaca,obliterans,,,,native,unlisted,,reported,unobserved,1974-06-01,Willa J. Noble,UBC,L36201,,,,,reported as Caloplaca obliterans,463370,LIC,accepted,463370,Leproplaca obliterans,Leproplaca obliterans
Polycauliona bolacina,"(Tuck.) Arup, Frödén & Søchting",,waxy firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Polycauliona,bolacina,,,,native,unlisted,,new 2015,observed,,,,,,2015-08-05,Andrew Simon,iNat:2599898,reported as Caloplaca bolacina,463823,LIC,accepted,463823,Polycauliona bolacina,Polycauliona bolacina
Polycauliona candelaria,"(L.) Frödén, Arup, & Søchting",,shrubby sunburst lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Polycauliona,candelaria,,,,native,S5 (2018),,confirmed,observed,2010-04-17,Kent Brothers,VMS,,,2017-04-14,Kris Krüg,iNat:5703981,reported as Xanthoria candelaria,463825,LIC,accepted,463825,Polycauliona candelaria,Polycauliona candelaria
Polycauliona luteominia var. luteominia,"(Tuck.) Arup, Frödén & Søchting",,red firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Polycauliona,luteominia,,,luteominia,native,unlisted,,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L35910,,2020-06-10,Andrew Simon,iNat:49193131,reported as Caloplaca luteominia var. luteominia,463832,LIC,accepted,463832,Polycauliona luteominia luteominia,Polycauliona luteominia luteominia
Polycauliona polycarpa,"(Hoffm.) Frödén, Arup, & Søchting",,pin-cushion sunburst lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Polycauliona,polycarpa,,,,native,S5 (2010),,confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36187,,2016-08-14,Andrew Simon,iNat:3948548,,463837,LIC,accepted,463837,Polycauliona polycarpa,Polycauliona polycarpa
Polycauliona rosei,"(Hasse) Arup, Frödén & Søchting",,firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Polycauliona,rosei,,,,native,unlisted,,new 2017,observed,,,,,,2017-04-13,Kris Krüg,iNat:5679890,,463838,LIC,accepted,463838,Polycauliona rosei,Polycauliona rosei
Polycauliona stellata,"(Wetmore & Kärnefelt) Arup, Frödén & Søchting",,stellate firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Polycauliona,stellata,,,,native,unlisted,,new 2017,observed,,,,,,2017-12-30,Andrew Simon,iNat:9324670,,463839,LIC,accepted,463839,Polycauliona stellata,Polycauliona stellata
Polycauliona verruculifera,"(Vain.) Arup, Frödén & Søchting ",,ringed firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Polycauliona,verruculifera,,,,native,S4 (2020),,new 2022,observed,,,,,,2022-06-08,Andrew Simon,iNat:120889622,,463842,LIC,accepted,463842,Polycauliona verruculifera,Polycauliona verruculifera
Rufoplaca arenaria,"(Pers.) Arup, Søchting & Frödén",,granite firedot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Caloplacoideae,,Rufoplaca,arenaria,,,,native,unlisted,,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35907,,,,,reported as Caloplaca arenaria,532265,LIC,accepted,532265,Rufoplaca arenaria,Rufoplaca arenaria
Xanthomendoza hasseana,"(Räsänen) Søchting, Karenfelt & S.Y. Kondr.",,radiant sunburst,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Xanthomendoza,hasseana,,,,native,S5 (2019),,new 2016,observed,,,,,,2016-08-14,Andrew Simon,iNat:3948548,,174751,LIC,accepted,174751,Xanthomendoza hasseana,Xanthomendoza hasseana
Xanthomendoza oregana,"(Gyeln.) Søchting, Kärnefelt & S.Y. Kondr.",,Oregon sunburst,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Xanthomendoza,oregana,,,,native,S4S5 (2018),,new 2015,observed,,,,,,2015-08-05,Andrew Simon,iNat:2599908,,338616,LIC,accepted,338616,Xanthomendoza oregana,Xanthomendoza oregana
Xanthoria parietina,(L.) Th. Fr.,,maritime sunburst,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Xanthoria,parietina,,,,exotic,unlisted,,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35878,,2016-12-27,Andrew Simon,iNat:4855793,,55576,LIC,accepted,55576,Xanthoria parietina,Xanthoria parietina
Xanthoria sp. nov.,,,undescribed sunburst lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,Xanthoria,,,,,native,unlisted,,new 2016,observed,,,,,,2016-08-14,Andrew Simon,iNat:3948539,,54757,LIC,accepted,54757,Xanthoria,Xanthoria
Placopsis gelida,(L.) Linds.,,bull’s-eye lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Trapeliales,,,Trapeliaceae,,,Placopsis,gelida,,,,native,unlisted,,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36180,,,,,,228239,LIC,accepted,228239,Placopsis gelida,Placopsis gelida
Placynthiella oligotropha,(J. R. Laundon) Coppins & P. James,,tar-spot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Trapeliales,,,Trapeliaceae,,,Placynthiella,oligotropha,,,,native,S5 (2020),,new 2021,observed,,,,,,2021-05-03,Andrew Simon,iNat:83031013,,228244,LIC,accepted,228244,Placynthiella oligotropha,Placynthiella oligotropha
Trapelia coarctata,(Turner ex Sm.) M. Choisy,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Trapeliales,,,Trapeliaceae,,,Trapelia,coarctata,,,,native,S5 (2020),,reported,unobserved,1974-05-28,Willa J. Noble,UBC,L35897,,,,,,117903,LIC,accepted,117903,Trapelia coarctata,Trapelia coarctata
Trapeliopsis granulosa,(Hoffm.) Lumbsch,,granular mottled-disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Trapeliales,,,Trapeliaceae,,,Trapeliopsis,granulosa,,,,native,unlisted,,new 2017,observed,,,,,,2017-03-23,Andrew Simon,iNat:5450618,,180430,LIC,accepted,180430,Trapeliopsis granulosa,Trapeliopsis granulosa
Xylographa opegraphella,(Ach.:Fr.) Fr.,,scribble lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Trapeliales,,,Xylographaceae,,,Xylographa,opegraphella,,,,native,SU (2020),,new 2021,observed,,,,,,2021-10-23,Alejandro Huereca Delgado & Andrew Simon ,iNat:99510052,,233847,LIC,accepted,233847,Xylographa opegraphella,Xylographa opegraphella
Hypocenomyce scalaris,(Ach.) M. Choisy,,charcoal clamshell,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Ophioparmaceae,,,Hypocenomyce,scalaris,,,,native,unlisted,,new 2018,observed,,,,,,2018-07-01,Andrew Simon,iNat:13973313,,117973,LIC,accepted,117973,Hypocenomyce scalaris,Hypocenomyce scalaris
Umbilicaria phaea,Tuck.,,emery rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,phaea,,,,native,S4 (2010),,new 2018,observed,,,,,,2018-06-27,Andrew Simon,iNat:13854021,,125055,LIC,accepted,125055,Umbilicaria phaea,Umbilicaria phaea
Umbilicaria polyphylla,(L.) Baumg.,,petalled rocktripe,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Umbilicariaceae,,,Umbilicaria,polyphylla,,,,native,S4 (2010),,confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2017-05-29,Andrew Simon,iNat:7498404,,125058,LIC,accepted,125058,Umbilicaria polyphylla,Umbilicaria polyphylla
Lichenomphalia umbellifera,"(L.) Redhead, Lutzoni, Moncalvo & Vilgalys",,heath navel,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Hygrophorineae,,Hygrophoraceae,Lichenomphalioideae,Lichenomphalieae,Lichenomphalia,ericetorum,,,,native,unlisted,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2015-02-12,Lauren Magner & Andrew Simon,iNat:2565733,,118245,LIC,unaccepted,1497645,Lichenomphalia ericetorum,Lichenomphalia umbellifera
Multiclavula corynoides,(Peck) R. Petersen,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Hydnaceae,,,Multiclavula,corynoides,,,,native,SU (2021),,new 2021,observed,,,,,,2021-03-13,"Dave “Zeuss"" Cochrane",iNat:71175204,,199687,LIC,accepted,199687,Multiclavula corynoides,Multiclavula corynoides
