"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Origin","Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"246","Chroogomphus ochraceus","",NA,"Olive Pine Spike","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Gomphidiaceae","","","Chroogomphus",NA,NA,"new 2021","observed","","","","",NA,"2021-06-18","Caitlin Robinson","https://www.inaturalist.org/observations/94284122","",118358,"FUN"
"247","Coltricia cinnamomea","",NA,"Shiny cinnamon polypore","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Hymenochaetales","",NA,"Coltriciaceae","","","Coltricia",NA,NA,"new 2021","observed","","","","",NA,"2021-10-17","Caitlin Robinson","https://www.inaturalist.org/observations/98631747","",118035,"FUN"
"248","Ganoderma brownii","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Ganoderma",NA,NA,"new 2021","observed","","","","",NA,"2021-03-08","Flora Lake","https://www.inaturalist.org/observations/70839100","",348812,"FUN"
"249","Hygrocybe singeri","",NA,"Western Witch's Hat","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","Hygrocyboideae","Hygrocybeae","Hygrocybe",NA,NA,"new 2021","observed","","","","",NA,"2021-11-20","Willoughby Arevalo","https://www.inaturalist.org/observations/101656170","",118316,"FUN"
"250","Intralichen sp.","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"",NA,NA,"","",NA,"Intralichen","","","Intralichen",NA,NA,"new 2021","observed","","","","",NA,"2021-10-23","Alejandro Huereca Delgado and Andrew Simon","https://www.inaturalist.org/observations/99510055","",463146,"FUN"
"251","Laricifomes officinalis","",NA,"Quinine Conk","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Fomitopsidaceae","","","Laricifomes",NA,NA,"new 2021","observed","","","","",NA,"2021-05-05","Chadley Diakow and Andrew Simon","https://www.inaturalist.org/observations/77666302","",135216,"FUN"
"252","Lycoperdon pratense","",NA,"Meadow Puffball","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Lycoperdaceae","","","Lycoperdon",NA,NA,"new 2021","observed","","","","",NA,"2021-10-23","Dan Tucker","https://www.inaturalist.org/observations/99661799","",118145,"FUN"
"253","Merulius tremellosus","",NA,"Trembling Crust","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Meruliaceae","","","Merulius",NA,NA,"new 2021","observed","","","","",NA,"2021-09-30","Dave “Zeuss"" Cochrane","https://www.inaturalist.org/observations/96756194","",179113,"FUN"
"254","Morchella importuna","",NA,"Landscaping Black Morel","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Morchellaceae","","","Morchella",NA,NA,"new 2021","observed","","","","",NA,"2021-05-25","Christian Adler","https://www.inaturalist.org/observations/83012835","",487375,"FUN"
"255","Morchella rufobrunnea","",NA,"Woodchip Morel","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Morchellaceae","","","Morchella",NA,NA,"new 2021","observed","","","","",NA,"2021-03-22","abaloneeyes","https://www.inaturalist.org/observations/97267887","",206090,"FUN"
"256","Mycena purpureofusca","",NA,"purple-edge bonnet","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Marasmiineae",NA,"Mycenaceae","","","Mycena",NA,NA,"new 2021","observed","","","","",NA,"2021-10-10","Eva Ullström","https://www.inaturalist.org/observations/98115607","",63422,"FUN"
"257","Pycnoporellus fulgens","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Fomitopsidaceae","","","Pycnoporellus",NA,NA,"new 2021","observed","","","","",NA,"2021-07-03","Adrian Levine","https://www.inaturalist.org/observations/85655947","",367273,"FUN"
"258","Russula adusta","",NA,"Blackening Russula","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Russulaceae","","","Russula",NA,NA,"new 2021","observed","","","","",NA,"2021-02-06","catiemac","https://www.inaturalist.org/observations/69286683","",194408,"FUN"
"259","Sarcoscypha austriaca","",NA,"Scarlet Elfcup","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Sarcoscyphaceae","","","Sarcoscypha",NA,NA,"new 2021","observed","","","","",NA,"2021-02-01","Flora Lake","https://www.inaturalist.org/observations/68952750","",126913,"FUN"
"260","Stereum ochraceoflavum","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Stereaceae","","","Stereum",NA,NA,"new 2021","observed","","","","",NA,"2021-10-23","Dan Tucker","https://www.inaturalist.org/observations/99661808","",118107,"FUN"
"261","Agaricus arvensis","Schaeff.",NA,"horse mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",58699,"FUN"
"262","Agaricus bisporus","(J.E. Lange) Imbach",NA,"button ‘money’s’ mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",61395,"FUN"
"263","Agaricus campestris","L.",NA,"meadow mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",143563,"FUN"
"264","Agaricus diminutivus","Peck",NA,"diminuitive agaricus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",118387,"FUN"
"265","Agaricus moelleri","Wasser",NA,"flat-topped agaricus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"reported","unobserved","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",118382,"FUN"
"266","Agaricus subrufescens","Peck",NA,"almond mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",179249,"FUN"
"267","Agaricus sylvaticus","Schaeff.",NA,"scaly wood mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"reported","unobserved","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",480776,"FUN"
"268","Agaricus sylvicola","(Vittad.) Peck",NA,"woodland mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Agaricus",NA,NA,"reported","unobserved","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",154291,"FUN"
"269","Albatrellus confluens","(Alb. & Schwein.) Kotl. & Pouzar",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Albatrellaceae","","","Albatrellus",NA,NA,"reported","unobserved","2016-02","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",479826,"FUN"
"270","Albatrellus ovinus","(Schaeff.) Kotl. & Pouzar",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Albatrellaceae","","","Albatrellus",NA,NA,"reported","unobserved","2016-02","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",123891,"FUN"
"271","Amanita constricta","Thiers & Ammirati",NA,"Grisette","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Pluteineae",NA,"Amanitaceae","","","Amanita",NA,NA,"reported","unobserved","2019-11","Rene Zich","19th Galiano Mushroom Festival List","",NA,"","","","",67355,"FUN"
"272","Amanita phalloides","(Fr.) Link",NA,"death cap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Pluteineae",NA,"Amanitaceae","","","Amanita",NA,NA,"reported","unobserved","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",52135,"FUN"
"273","Amanita porphyria","Alb. & Schwein.",NA,"booted amanita","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Pluteineae",NA,"Amanitaceae","","","Amanita",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",118400,"FUN"
"274","Amanita smithiana","Bas",NA,"Smith’s amanita","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Pluteineae",NA,"Amanitaceae","","","Amanita",NA,NA,"reported","unobserved","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",62485,"FUN"
"275","Amanita vaginata","(Bull.) Lam.",NA,"Grisette","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Pluteineae",NA,"Amanitaceae","","","Amanita",NA,NA,"reported","unobserved","2016-05","Kent Brothers","VMS","",NA,"","","","",55482,"FUN"
"276","Annulohypoxylon multiforme","(Fr.) Y.M. Ju, J.D. Rogers, & H.M. Hsieh",NA,"carbon cushion","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Xylariales","",NA,"Hypoxylaceae","","","Annulohypoxylon",NA,NA,"reported","unobserved","2011-05-14","Kent Brothers","VMS","",NA,"","","","",895016,"FUN"
"277","Apioperdon pyriforme","(Schaeff.) Vizzini",NA,"pear-shaped puffball","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Lycoperdaceae","","","Apioperdon",NA,NA,"reported","unobserved","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","reported as Lycoperdon pyriforme",972793,"FUN"
"278","Arrhenia chlorocyanea","(Pat.) Redhead, Lutzoni, Moncalvo & Vilgalys",NA,"blue omphalina","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","","","Arrhenia",NA,NA,"reported","unobserved","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",354693,"FUN"
"279","Atheniella adonis","(Bull.)",NA,"scarlet bonnet","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Marasmiineae",NA,"Porotheleaceae","","","Atheniella",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",485685,"FUN"
"280","Baeospora myosura","(Fr.) Singer",NA,"crowded gills","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Marasmiineae",NA,"Cyphellaceae","","","Baeospora",NA,NA,"reported","unobserved","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",118349,"FUN"
"281","Battarrea phalloides","(Dicks.) Pers.",NA,"scaley-stalked puffball","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Battarrea",NA,NA,"reported","unobserved","2008-10-25","Rene Zich","UBC","F29851",NA,"","","","",119969,"FUN"
"282","Bertia moriformis","(Tode) De Not.",NA,"wood mulberry","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Coronophorales","",NA,"Bertiaceae","","","Bertia",NA,NA,"reported","unobserved","2017-05-06","Kent Brothers","VMS","",NA,"","","","",381382,"FUN"
"283","Biscogniauxia cf mediterranea","(De Not.) Kuntze",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Xylariales","",NA,"Graphostromataceae","","","Biscogniauxia",NA,NA,"reported","unobserved","2011-05-14","Kent Brothers","VMS","",NA,"","","","",350183,"FUN"
"284","Boletopsis subsquamosa","(L.) Kotl. & Pouzar",NA,"kurokawa","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Thelephorales","",NA,"Bankeraceae","","","Boletopsis",NA,NA,"reported","unobserved","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",194472,"FUN"
"285","Boletus edulis","Bull.",NA,"cep","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Boletaceae","","","Boletus",NA,NA,"reported","unobserved","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",48701,"FUN"
"286","Bovista plumbea","Pers.",NA,"tumbling puffball","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Lycoperdaceae","","","Bovista",NA,NA,"reported","unobserved","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",118132,"FUN"
"287","Callistosporium luteo-olivaceum","(Berk. & M.A. Curtis) Singer",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Tricholomatineae",NA,"Biannulariaceae","","","Callistosporium",NA,NA,"reported","unobserved","2010-04-17","Paul Kroeger","UBC","F22065",NA,"","","","",118354,"FUN"
"288","Cantharellula umbonata","(J.F. Gmel.) Singer",NA,"grayling","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","","","Cantharellula",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",341438,"FUN"
"289","Cerioporus squamosus","(Huds.) Fr.",NA,"dryad’s saddle","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Cerioporus",NA,NA,"reported","unobserved","2007-04","Kent Brothers","VMS","",NA,"","","","reported as Polyporus squamosus",940028,"FUN"
"290","Cerioporus varius","(Pers.) Zmitr. & Kovalenko",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Cerioporus",NA,NA,"reported","unobserved","2011-05-14","Kent Brothers","VMS","",NA,"","","","reported as Polyporus varius",895267,"FUN"
"291","Chalciporus piperatus","(Bull.) Bataille",NA,"peppery bolete","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Boletaceae","","","Chalciporus",NA,NA,"reported","unobserved","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",147354,"FUN"
"292","Cheilymenia sp.","",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Pyronemataceae","","","Cheilymenia",NA,NA,"reported","unobserved","2012-05-12","Kent Brothers","VMS","",NA,"","","","",344607,"FUN"
"293","Chlorociboria aeruginascens","(Nyl.) Kanouse ex C.S. Ramamurthi, Korf & L.R. Batra",NA,"green wood cup","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Helotiales","",NA,"Chlorociboriaceae","","","Chlorociboria",NA,NA,"reported","unobserved","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",122329,"FUN"
"294","Chlorophyllum brunneum","(Farl. & Burt) Vellinga",NA,"shaggy parasol","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Chlorophyllum",NA,NA,"reported","unobserved","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"","","","",58693,"FUN"
"295","Chromosera cyanophylla","(Fries) Redhead, Ammirati & Norvell",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","","","Chromosera",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",118359,"FUN"
"296","Chroogomphus rutilus","(Schaeff.) O.K. Mill.",NA,"colourful chroogomphus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Gomphidiaceae","","","Chroogomphus",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",194275,"FUN"
"297","Chroogomphus tomentosus","(Murrill) O.K. Mill.",NA,"woolly chroogomphus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Gomphidiaceae","","","Chroogomphus",NA,NA,"reported","unobserved","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",48639,"FUN"
"298","Chrysomphalina chrysophylla","(Fr.) Clémençon",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","","","Chrysomphalina",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",484686,"FUN"
"299","Ciboria rufofusca","(O. Weberb.) Sacc.",NA,"fir cone fungus","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Helotiales","",NA,"Sclerotiniaceae","","","Ciboria",NA,NA,"reported","unobserved","2007-04-28","Kent Brothers","VMS","",NA,"","","","",326843,"FUN"
"300","Claviceps purpurea","(Fr.) Tul.",NA,"purple ergot","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Hypocreales","",NA,"Clavicipitaceae","","","Claviceps",NA,NA,"reported","unobserved","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",360212,"FUN"
"301","Clavulinopsis cf laeticolor","(Berk. & M.A. Curtis) R.H. Petersen",NA,"golden fairy club","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Clavariineae",NA,"Clavariaceae","","","Clavulinopsis",NA,NA,"reported","unobserved","2011-10","Kent Brothers","VMS","",NA,"","","","",55273,"FUN"
"302","Clavulinopsis corniculata","(Schaeff.) Corner",NA,"meadow coral","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Clavariineae",NA,"Clavariaceae","","","Clavulinopsis",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",179221,"FUN"
"303","Clitocybe dealbata","(Sowerby) P. Kumm.",NA,"sweat-producing clitocybe","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Tricholomatineae",NA,"Tricholomataceae","","","Clitocybe",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",737863,"FUN"
"304","Clitocybe deceptiva","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Tricholomatineae",NA,"Tricholomataceae","","","Clitocybe",NA,NA,"reported","unobserved","2010-04-17","Paul Kroeger","UBC","F22060",NA,"","","","",1186990,"FUN"
"305","Clitocybe dilatata","P. Karst.",NA,"crowded white clitocybe","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Tricholomatineae",NA,"Tricholomataceae","","","Clitocybe",NA,NA,"reported","unobserved","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"","","","",179747,"FUN"
"306","Clitocybe fragrans","(With.) P.Kumm.",NA,"anise mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Tricholomatineae",NA,"Tricholomataceae","","","Clitocybe",NA,NA,"reported","unobserved","2010-04","Paul Kroeger","UBC","",NA,"","","","reported as Clitocybe deceptiva H.E.Bigelow (1982); Berch indicates these are two separate spp.: “plausible but how differentiated from C. deceptiva? They are very similar.”",118370,"FUN"
