"Order","Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"butterflies and moths (Lepidoptera)","Vanessa annabella","West Coast Lady","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Vanessa atalanta","Red Admiral","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Vanessa cardui","Painted Lady","S5B (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Vanessa virginiensis","American Lady","SNA (2020)","Accidental","",""
"butterflies and moths (Lepidoptera)","Venusia cambrica","Welsh Wave Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Venusia pearsalli","Pearsall's Carpet Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Vitula serratilineella","Beehive Honey Moth","S4S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Walshia miscecolorella","Sweet Clover Root Borer Moth","S3S5 (2020)","Blue","",""
"butterflies and moths (Lepidoptera)","Xanthorhoe decoloraria","Red Carpet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Xanthorhoe defensaria","","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Xanthorhoe labradorensis","Labrador Carpet","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Xanthorhoe lacustrata","Toothed Brown Carpet","S5? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Xestia c-nigrum","Setaceous Hebrew Character","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Xestia mustelina","","S3S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Xestia oblata","Ruby Dart","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Xestia smithii","Smith's Dart","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Xestia xanthographa","Square-spot Rustic","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Xylena curvimacula","Dot-and-Dash Swordgrass Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Xylomoia indirecta","Oblique Brocade Moth","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Yponomeuta cagnagella","Spindle Ermine Moth","SNA (2020)","Exotic","",""
"butterflies and moths (Lepidoptera)","Ypsolopha falciferella","","S4? (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Zale lunata","Lunate Zale Moth","S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Zale minerea","Colorful Zale Moth","S4 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Zanclognatha jacchusalis","Wavy-lined Fan-foot","S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Zeiraphera improbana","Larch Needleworm","S5 (2020)","Yellow","",""
"butterflies and moths (Lepidoptera)","Zophodia grossulariella","Gooseberry Fruitworm Moth","SU (2020)","Unknown","",""
"butterflies and moths (Lepidoptera)","Zosteropoda hirtipes","V-lined Quaker","S4S5 (2020)","Not Reviewed","",""
"butterflies and moths (Lepidoptera)","Zotheca tranquilla","Elder Moth","S4S5 (2020)","Not Reviewed","",""
"caddisflies (Trichoptera)","Agapetus taho","","SU (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Agrypnia vestita","","SU (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Arctopsyche grandis","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Banksiola crotchi","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Clistoronia flavicollis","","SU (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Clistoronia magnifica","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Glyphopsyche irrorata","Irrorate Northern Caddisfly","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Halesochila taylori","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Lenarchus sp.","","","","",""
"caddisflies (Trichoptera)","Limnephilus flavastellus","Yellowstar Northern Caddisfly","SU (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Limnephilus moestus","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Nemotaulius hostilis","Inimical Northern Caddisfly","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Neophylax splendens","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Nyctiophylax moestus","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Platycentropus radiatus","Chocolate-and-cream Sedge","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Psychoglypha alascensis","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Psychoglypha bella","Beautiful Northern Caddisfly","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Ptilostomis ocellifera","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Pycnopsyche sp.","","","","",""
"caddisflies (Trichoptera)","Rhyacophila brunnea","","S4S5 (2016)","Not Reviewed","",""
"caddisflies (Trichoptera)","Rhyacophila sp.","","","","",""
"caddisflies (Trichoptera)","Triaenodes baris","","SU (2016)","Not Reviewed","",""
"cockroaches and termites (Blattodea)","Nyctibora sp.","","","","",""
"cockroaches and termites (Blattodea)","Zootermopsis angusticollis","Pacific Dampwood Termite","","","",""
"cockroaches and termites (Blattodea)","Zootermopsis nevadensis","Nevada Dampwood Termite","","","",""
"dragonflies and damselflies (Odonata)","Aeshna canadensis","Canada Darner","S5 (2015)","Yellow","",""
"dragonflies and damselflies (Odonata)","Aeshna eremita","Lake Darner","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Aeshna interrupta","Variable Darner","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Aeshna juncea","Sedge Darner","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Aeshna palmata","Paddle-tailed Darner","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Aeshna septentrionalis","Azure Darner","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Aeshna tuberculifera","Black-tipped Darner","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Aeshna umbrosa","Shadow Darner","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Anax junius","Common Green Darner","S3 (2023)","Blue","",""
"dragonflies and damselflies (Odonata)","Argia emma","Emma's Dancer","S3S4 (2023)","Blue","",""
"dragonflies and damselflies (Odonata)","Argia sp.","Dancers","","","",""
"dragonflies and damselflies (Odonata)","Cordulia shurtleffii","American Emerald","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Enallagma annexum","Northern Bluet","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Enallagma boreale","Boreal Bluet","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Enallagma carunculatum","Tule Bluet","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Enallagma cyathigerum","Common Blue Damselfly","","","",""
"dragonflies and damselflies (Odonata)","Epitheca sp.","Baskettails","","","",""
"dragonflies and damselflies (Odonata)","Epitheca spinigera","Spiny Baskettail","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Erythemis collocata","Western Pondhawk","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Ischnura cervula","Pacific Forktail","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Ischnura erratica","Swift Forktail","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Ischnura perparva","Western Forktail","S5? (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Ladona julia","Chalk-fronted Corporal","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Lestes disjunctus","Northern Spreadwing","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Leucorrhinia glacialis","Crimson-ringed Whiteface","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Leucorrhinia hudsonica","Hudsonian Whiteface","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Leucorrhinia intacta","Dot-tailed Whiteface","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Leucorrhinia proxima","Belted Whiteface","S5 (2015)","Yellow","",""
"dragonflies and damselflies (Odonata)","Libellula forensis","Eight-spotted Skimmer","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Libellula quadrimaculata","Four-spotted Skimmer","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Octogomphus specularis","Grappletail","S2S3 (2023)","Blue","Special Concern (2021)",""
"dragonflies and damselflies (Odonata)","Ophiogomphus occidentis","Sinuous Snaketail","S3 (2023)","Blue","",""
"dragonflies and damselflies (Odonata)","Pachydiplax longipennis","Blue Dasher","S4S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Plathemis lydia","Common Whitetail","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Rhionaeschna californica","California Darner","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Rhionaeschna multicolor","Blue-eyed Darner","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Somatochlora albicincta","Ringed Emerald","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Somatochlora franklini","Delicate Emerald","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Somatochlora minor","Ocellated Emerald","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Somatochlora semicircularis","Mountain Emerald","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Somatochlora walshii","Brush-tipped Emerald","S4S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Sympetrum corruptum","Variegated Meadowhawk","S5? (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Sympetrum costiferum","Saffron-winged Meadowhawk","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Sympetrum danae","Black Meadowhawk","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Sympetrum illotum","Cardinal Meadowhawk","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Sympetrum obtrusum","White-faced Meadowhawk","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Sympetrum pallipes","Striped Meadowhawk","S5 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Sympetrum vicinum","Autumn Meadowhawk","S3S4 (2023)","Blue","",""
"dragonflies and damselflies (Odonata)","Tanypteryx hageni","Black Petaltail","S2S3 (2023)","Blue","",""
"dragonflies and damselflies (Odonata)","Zoraena dorsalis","Pacific Spiketail","S4 (2023)","Yellow","",""
"dragonflies and damselflies (Odonata)","Zygoptera sp.","Damselflies","","","",""
"earwigs (Dermaptera)","Anisolabis maritima","Maritime Earwig","","","",""
"earwigs (Dermaptera)","Forficula auricularia","European Earwig","","","",""
"fleas (Siphonaptera)","Catallagia","","","","",""
"flies (Diptera)","Aedes euedes","Well-shaped Mosquito","S4S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Aedes hexodontus","","S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Aedes punctor","","S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Aedes sierrensis","Western Treehole Mosquito","S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Aedes togoi","","SNA (2017)","Exotic","",""
"flies (Diptera)","Aedes vexans","Inland Floodwater Mosquito","S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Agromyza alnibetulae","","","","",""
"flies (Diptera)","Agromyza idaeiana","","","","",""
"flies (Diptera)","Anopheles punctipennis","Woodland Malaria Mosquito","S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Atylotus tingaureus","","S4 (2017)","Not Reviewed","",""
"flies (Diptera)","Basilia sp.","","","","",""
"flies (Diptera)","Bibio vestitus","","","","",""
"flies (Diptera)","Blera humeralis","Yellow-legged Wood Fly","","","",""
"flies (Diptera)","Blera scitula","Western Wood Fly","","","",""
"flies (Diptera)","Bombylius major","Greater Bee Fly","S5 (2016)","Not Reviewed","",""
"flies (Diptera)","Brachypalpus alopex","Bumblebee Catkin Fly","","","",""
"flies (Diptera)","Calliphora vomitoria","Orange-bearded Bluebottle Fly","","","",""
"flies (Diptera)","Chaoborus crystallinus","","","","",""
"flies (Diptera)","Chionea alexandriana","","","","",""
"flies (Diptera)","Chironomus sp.","","","","",""
"flies (Diptera)","Chrysops asbestos","Shining Deer Fly","S4 (2017)","Not Reviewed","",""
"flies (Diptera)","Chrysops excitans","Bothersome Deer Fly","S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Chrysops frigidus","Frigid Deer Fly","S4 (2017)","Not Reviewed","",""
"flies (Diptera)","Chrysops sp.","Deer Flies","","","",""
"flies (Diptera)","Condylostylus occidentalis","","","","",""
"flies (Diptera)","Criorhina bubulcus","Whiskered Bumble Fly","","","",""
"flies (Diptera)","Culiseta impatiens","Impatient mosquito","S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Cynomya cadaverina","Shiny Blue Bottle Fly","","","",""
"flies (Diptera)","Cyrtopogon dasylloides","","S4 (2019)","Not Reviewed","",""
"flies (Diptera)","Cyrtopogon dubius","","S3 (2019)","Not Reviewed","",""
"flies (Diptera)","Cyrtopogon willistoni","","S5 (2019)","Not Reviewed","",""
"flies (Diptera)","Dasysyrphus intrudens","Confusing Conifer Fly","","","",""
"flies (Diptera)","Dilophus sp.","","","","",""
"flies (Diptera)","Dipalta serpentina","","S3 (2016)","Not Reviewed","",""
"flies (Diptera)","Drosophila suzukii","Spotted-winged Drosophila","","","",""
"flies (Diptera)","Epistrophe grossulariae","Black-horned Smoothtail","","","",""
"flies (Diptera)","Eristalis arbustorum","Eurasian Drone Fly","","","",""
"flies (Diptera)","Eristalis hirta","Black-footed Drone Fly","","","",""
"flies (Diptera)","Eristalis tenax","Common Drone Fly","","","",""
"flies (Diptera)","Eucalliphora latifrons","","","","",""
"flies (Diptera)","Eudioctria sackeni","","S5 (2019)","Not Reviewed","",""
"flies (Diptera)","Eupeodes fumipennis","Western Aphideater","","","",""
"flies (Diptera)","Eupeodes volucris","Large-tailed Aphideater","","","",""
"flies (Diptera)","Exaireta spinigera","Garden soldier fly","","","",""
"flies (Diptera)","Gymnosoma sp.","","","","",""
"flies (Diptera)","Hadromyia crawfordi","Golden Quicksilver","","","",""
"flies (Diptera)","Hadromyia grandis","Bee-like Quicksilver","","","",""
"flies (Diptera)","Hadromyia pulchra","Yellow-shielded Quicksilver","","","",""
"flies (Diptera)","Helophilus fasciatus","Narrow-headed Marsh Fly","","","",""
"flies (Diptera)","Holorusia hespera","Giant Western Crane Fly","","","",""
"flies (Diptera)","Hybomitra californica","","S4 (2017)","Not Reviewed","",""
"flies (Diptera)","Hybomitra captonis","","S4S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Hybomitra itasca","","SU (2017)","Not Reviewed","",""
"flies (Diptera)","Laphria columbica","","S5 (2019)","Not Reviewed","",""
"flies (Diptera)","Laphria partitor","","S5 (2019)","Not Reviewed","",""
"flies (Diptera)","Lapposyrphus lapponicus","Common Loopwing Aphideater","","","",""
"flies (Diptera)","Limonia sp.","","","","",""
"flies (Diptera)","Liriomyza sp.","Liriomyza leaf-mining flies","","","",""
"flies (Diptera)","Lucilia illustris","Illustrious Greenbottle Fly","","","",""
"flies (Diptera)","Lucilia sericata","Common European Greenbottle Fly","","","",""
"flies (Diptera)","Machimus sp.","Bladetails","","","",""
"flies (Diptera)","Megasyrphus laxus","Black-legged Gossamer","","","",""
"flies (Diptera)","Melanostoma mellinum","Variable Duskyface Fly","","","",""
"flies (Diptera)","Meliscaeva cinctella","Banded Thintail","","","",""
"flies (Diptera)","Merodon equestris","Narcissus Bulb Fly","","","",""
"flies (Diptera)","Molophilus sp.","","","","",""
"flies (Diptera)","Myathropa florea","Yellow-haired Sun Fly","","","",""
"flies (Diptera)","Neomochtherus willistoni","Williston Bladetail","S5 (2019)","Not Reviewed","",""
"flies (Diptera)","Nephrotoma sp.","Tiger Crane Flies","","","",""
"flies (Diptera)","Oedoparena glauca","","","","",""
"flies (Diptera)","Ornithomya anchineuria","","","","",""
"flies (Diptera)","Pandivirilia conspicua","","S5 (2019)","Not Reviewed","",""
"flies (Diptera)","Parasyrphus sp.","Bristleside Flies","","","",""
"flies (Diptera)","Peleteria sp.","","","","",""
"flies (Diptera)","Periscepsia polita","","","","",""
"flies (Diptera)","Phasia aurulans","","","","",""
"flies (Diptera)","Phytomyza agromyzina","","","","",""
"flies (Diptera)","Phytomyza ilicis","European Holly Leafminer","","","",""
"flies (Diptera)","Phytomyza tiarellae","","","","",""
"flies (Diptera)","Platycheirus hyperboreus","Pearly Sedgesitter","","","",""
"flies (Diptera)","Platycheirus sp.","","","","",""
"flies (Diptera)","Pollenia angustigena","Narrow-cheeked Clusterfly","","","",""
"flies (Diptera)","Pollenia rudis","Common Cluster Fly","","","",""
"flies (Diptera)","Pollenia vagabunda","Vagabond Cluster Fly","","","",""
"flies (Diptera)","Rhagio tringarius","Marsh Snipe Fly","","","",""
"flies (Diptera)","Sarcophaga sp.","Cryptic carnaria-group Flesh Flies","","","",""
"flies (Diptera)","Scaeva affinis","White-bowed Smoothwing","","","",""
"flies (Diptera)","Scaeva pyrastri","Eurasian Smoothwing","","","",""
"flies (Diptera)","Scathophaga stercoraria","Golden Dung Fly","","","",""
"flies (Diptera)","Sepedon sp.","Snail-killing Flies","","","",""
"flies (Diptera)","Sericomyia chalcopyga","Western Pond Fly","","","",""
"flies (Diptera)","Sericomyia militaris","Narrow-banded Pond Fly","","","",""
"flies (Diptera)","Sphaerophoria sp.","Globetails","","","",""
"flies (Diptera)","Spilomyia interrupta","Interrupted Hornet Fly","","","",""
"flies (Diptera)","Syritta pipiens","Thick-legged Hover Fly","","","",""
"flies (Diptera)","Syrphus opinator","Black-margined Flower Fly","","","",""
"flies (Diptera)","Tabanus sequax","","S4S5 (2017)","Not Reviewed","",""
"flies (Diptera)","Tachina sp.","","","","",""
"flies (Diptera)","Tachypeza sp.","","","","",""
"flies (Diptera)","Thereva fucatoides","","S5 (2019)","Not Reviewed","",""
"flies (Diptera)","Tipula oleracea","Marsh Crane Fly","","","",""
"flies (Diptera)","Toxomerus marginatus","Margined Calligrapher","","","",""
"flies (Diptera)","Toxomerus occidentalis","Western Calligrapher","","","",""
"flies (Diptera)","Tricyphona sp.","","","","",""
"flies (Diptera)","Villa fulviana","Tawny-tailed Bee Fly","S4S5 (2016)","Not Reviewed","",""
"flies (Diptera)","Villa sp.","","","","",""
"flies (Diptera)","Xylophagus sp.","","","","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Camnula pellucida","Clear-winged Grasshopper","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Conocephalus fasciatus","Slender Meadow Katydid","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Cyphoderris monstrosa","Great Grig","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Dissosteira carolina","Carolina Grasshopper","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Gryllus pennsylvanicus","Fall Field Cricket","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Meconema thalassinum","Oak Bush-cricket","SNA (2015)","Exotic","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Melanoplus femurrubrum","Red-legged Grasshopper","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Melanoplus sanguinipes","Migratory Grasshopper","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Myrmecophilus oregonensis","West Coast Ant Cricket","S3 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Pristoceuthophilus celatus","","S3S4 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Tetrix subulata","Slender Groundhopper","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Trimerotropis verruculata","Crackling Forest Grasshopper","S5 (2015)","Not Reviewed","",""
"grasshoppers, crickets, and katydids (Orthoptera)","Tropidischia xanthostoma","Square-legged Camel Cricket","S4S5 (2015)","Not Reviewed","",""
"ice crawlers and rock crawlers (Notoptera)","Grylloblatta scudderi","Scudder's Rock Crawler","SU (2015)","Not Reviewed","",""
"jumping bristletails (Archaeognatha)","Pedetontus submutans","","","","",""
"lacewings and allies (Neuroptera)","Chrysopa nigricornis","Black-horned Green Lacewing","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Chrysopa sp.","Stink Lacewings","","","",""
"lacewings and allies (Neuroptera)","Chrysoperla carnea grp.","","","","",""
"lacewings and allies (Neuroptera)","Hemerobius bistrigatus","","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Hemerobius conjunctus","","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Hemerobius pacificus","Pacific Brown Lacewing","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Hemerobius stigma","brown pine lacewing","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Meleoma signoretti","","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Myrmeleon exitialis","","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Nineta gravida","Heavy Green Lacewing","S2 (2016)","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Nothochrysa californica","San Francisco Lacewing","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Polystoechotes punctata","","SNR","Not Reviewed","",""
"lacewings and allies (Neuroptera)","Wesmaelius involutus","Veiled Bruine Lacewing","SNR","Not Reviewed","",""
"land snails and slugs (Stylommatophora)","Prophysaon andersonii","","","","",""
"mayflies (Ephemeroptera)","Callibaetis ferrugineus hageni","","S4S5 (2016)","Not Reviewed","",""
"scorpionflies (Mecoptera)","Boreus californicus","California Snow Scorpionfly","S5? (2015)","Not Reviewed","",""
"scorpionflies (Mecoptera)","Boreus elegans","","S4S5 (2015)","Not Reviewed","",""
"silverfish and firebrats (Zygentoma)","Ctenolepisma longicaudatum","Long-tailed Silverfish","","","",""
"stoneflies (Plecoptera)","Calineuria californica","Western Stonefly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Capnia confusa","Widespread Snowfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Capnia elongata","Cascades Snowfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Capnia excavata","Saddleback Snowfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Capnia gracilaria","Slender Snowfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Capnia melia","Northwest Snowfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Capnia nana","Dwarf Snowfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Despaxia augusta","","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Doddsia occidentalis","Western Willowfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Eucapnopsis brevicauda","Shorttailed Snowfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Moselia infuscata","Hairy Needlefly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Paraleuctra occidentalis","Western Needlefly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Pteronarcys princeps","Ebony Salmonfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Suwallia pallidula","Yellow Sallfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Utacapnia sp.","","","","",""
"stoneflies (Plecoptera)","Visoka cataractae","Cataract Forestfly","S4S5 (2017)","Not Reviewed","",""
"stoneflies (Plecoptera)","Zapada cinctipes","Common Forestfly","S5 (2017)","Not Reviewed","",""
"true bugs (Hemiptera)","Acalypta lillianis","Lillian's lace bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Adelges cooleyi","Douglas Fir Adelgid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Anthocoris antevolens","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Anthocoris tomentosus","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Aphis sp.","","","","",""
"true bugs (Hemiptera)","Aphrophora alni","Alder Spittlebug","","","",""
"true bugs (Hemiptera)","Aquarius remigis","North American Common Water Strider","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Aradus compressus","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Aradus fuscomaculatus","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Aradus persimilis","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Arocatus melanocephalus","Elm Seed Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Athysanus argentarius","Silver Leafhopper","","","",""
"true bugs (Hemiptera)","Banasa dimidiata","Green Burgundy Stink Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Banasa sordida","Muddy Stink Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Brochymena affinis","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Brochymena quadripustulata","Four-humped Stink Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Buenoa confusa","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Callicorixa vulnerata","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Callipterinella calliptera","Black-banded Birch Aphid","SNA","Exotic","",""
"true bugs (Hemiptera)","Campyloneura virgula","","SNA","Exotic","",""
"true bugs (Hemiptera)","Ceratocombus vagans","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Chaetosiphon fragaefolii","Strawberry Aphid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Chlorochroa sp.","","","","",""
"true bugs (Hemiptera)","Cimex pilosellus","Western Bat Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Cinara pseudotaxifoliae","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Cixidia henshawi","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Cosmopepla intergressa","","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Cosmopepla lintneriana","Twice-stabbed Stink Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Cyphostethus tristriatus","Juniper Shield Bug","SNA","Exotic","",""
"true bugs (Hemiptera)","Draeculacephala robinsoni","Sharp-headed Sharpshooter","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Edwardsiana commissuralis","","","","",""
"true bugs (Hemiptera)","Elasmostethus cruciatus","Red-cross Shield Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Elasmucha lateralis","Edge-striped Shield Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Empicoris rubromaculatus","Thread Bug","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Empoasca sp.","","","","",""
"true bugs (Hemiptera)","Erasmoneura margaritae","","","","",""
"true bugs (Hemiptera)","Euceraphis gillettei","American Alder Aphid","SNR","Not Reviewed","",""
"true bugs (Hemiptera)","Eulachnus rileyi","pine needle aphid","","","",""
"true bugs (Hemiptera)","Eupteryx filicum","","SNR","Not Reviewed","",""
