Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,new_year,Reporting.Status.simple,Taxon_std,Phylum_std,status_std,historical_year,observed_year,new_year_std,contribution_year,Observer_std,Collector_std,iNat_link,iNat_ID,Historical_metadata,Phylum_label
Mytilus edulis complex,,,blue mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Mytilinae,,Mytilus,edulis,NA,,NA,native,unlisted,,confirmed,observed,1982-05-28,Philip Lambert,RBCM,982-00155-001,1898293540,2015-08-05,Andrew Simon,iNat:2599512,,62807,MOL,NA,confirmed,Mytilus edulis complex,Mollusca,confirmed,1982,2015,NA,2015,Andrew Simon,Philip Lambert,https://www.inaturalist.org/observations/2599512,2599512," (RBCM, 982-00155-001)",Molluscs (Mollusca)
Nuculana leonina,"(Dall, 1896)",,nuculanid clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Nuculanidae,Nuculaninae,,Nuculana,leonina,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03316,1898319922,NA,NA,NA,,957348,MOL,NA,reported,Nuculana leonina,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03316)",Molluscs (Mollusca)
Megayoldia thraciaeformis,"(Storer, 1838)",,broad yoldia,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,,Megayoldia,thraciaeformis,NA,,NA,native,unlisted,,reported,unobserved,1942-06-01,Dan Quayle,RBCM,991-00500-001,1898270739,NA,NA,NA,,957355,MOL,NA,reported,Megayoldia thraciaeformis,Mollusca,reported,1942,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 991-00500-001)",Molluscs (Mollusca)
Yoldia aeolica,"Dall, 1897",,yoldia clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,,Yoldia,aeolica,NA,,NA,native,unlisted,,reported,unobserved,1917-06-29,NA,RBCM,991-00498-001,1898316827,NA,NA,NA,,957342,MOL,NA,reported,Yoldia aeolica,Mollusca,reported,1917,NA,NA,NA,NA,NA,NA,NA," (RBCM, 991-00498-001)",Molluscs (Mollusca)
Yoldia amygdalea,"(Valenciennes, 1846)",,yoldia clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,,Yoldia,amygdalea,NA,,NA,native,unlisted,,reported,unobserved,1962-09-14,John Fleury,RBCM,991-00464-001,1898322652,NA,NA,NA,,957338,MOL,NA,reported,Yoldia amygdalea,Mollusca,reported,1962,NA,NA,NA,NA,John Fleury,NA,NA," (RBCM, 991-00464-001)",Molluscs (Mollusca)
Yoldia hyperborea,"(Gould, 1841)",,yoldia clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,,Yoldia,hyperborea,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03304,NA,NA,NA,NA,,996928,MOL,NA,reported,Yoldia hyperborea,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03304)",Molluscs (Mollusca)
Ennucula tenuis,"(Montagu, 1808)",,smooth nutclam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,Nuculoidea,Nuculidae,,,Ennucula,tenuis,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03318,1898321136,NA,NA,NA,,202045,MOL,NA,reported,Ennucula tenuis,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03318)",Molluscs (Mollusca)
Acila castrensis,"(Hinds, 1843)",,nutclam or nutshell,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida ,,Nuculoidea,Nuculidae,,,Acila,castrensis,NA,,NA,native,unlisted,,reported,unobserved,1961-05-13,Dan B. Quayle,RBCM,982-00207-002,1898323311,NA,NA,NA,,339158,MOL,NA,reported,Acila castrensis,Mollusca,reported,1961,NA,NA,NA,NA,Dan B. Quayle,NA,NA," (RBCM, 982-00207-002)",Molluscs (Mollusca)
Magallana gigas,"(Thunberg, 1793)",,Pacific oyster,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Ostreida,,Ostreoidea,Ostreidae,,,Magallana,gigas,NA,,NA,non-native,unlisted,,new 2016,observed,NA,NA,NA,NA,NA,2016-08-17,Andrew Simon,iNat:3910078,,605992,MOL,2016,new,Magallana gigas,Mollusca,new,NA,2016,2016,2016,Andrew Simon,NA,https://www.inaturalist.org/observations/3910078,3910078,,Molluscs (Mollusca)
Pododesmus macrochisma,"(Deshayes, 1839)",,green false-jingle,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Anomiidae,,,Pododesmus,macrochisma,NA,,NA,native,unlisted,,confirmed,observed,1986-04-08,NA,RBCM,986-00191-016,NA,2016-04-06,Karolle Wall,iNat:4052032,,68652,MOL,NA,confirmed,Pododesmus macrochisma,Mollusca,confirmed,1986,2016,NA,2016,Karolle Wall,NA,https://www.inaturalist.org/observations/4052032,4052032," (RBCM, 986-00191-016)",Molluscs (Mollusca)
Chlamys hastata,"(G.B. Sowerby II, 1842)",,spiny pink scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,,Chlamys,hastata,NA,,NA,native,unlisted,,confirmed,observed,1962-01-01,Dan Quayle,RBCM,989-00923-001,1898302672,2013-10-13,Peter Luckham,iNat:2976031,,180013,MOL,NA,confirmed,Chlamys hastata,Mollusca,confirmed,1962,2013,NA,2013,Peter Luckham,Dan Quayle,https://www.inaturalist.org/observations/2976031,2976031," (RBCM, 989-00923-001)",Molluscs (Mollusca)
Chlamys rubida,"(Hinds, 1845)",,smooth pink scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,,Chlamys,rubida,NA,,NA,native,unlisted,,reported,unobserved,1961-05-13,Dan Quayle,RBCM,982-00207-003,1898263421,NA,NA,NA,,84496,MOL,NA,reported,Chlamys rubida,Mollusca,reported,1961,NA,NA,NA,NA,Dan Quayle,NA,NA," (RBCM, 982-00207-003)",Molluscs (Mollusca)
Crassadoma gigantea,"(J.E. Gray, 1825)",,giant rock scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,,Crassadoma,gigantea,NA,,NA,native,unlisted,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,NA,NA,2015-05-16,Karolle Wall,iNat:2854818,,54526,MOL,NA,confirmed,Crassadoma gigantea,Mollusca,confirmed,1969,2015,NA,2015,Karolle Wall,Andy Lamb,https://www.inaturalist.org/observations/2854818,2854818, (PMLS),Molluscs (Mollusca)
Patinopecten caurinus,"(Gould, 1850)",,giant Pacific sea scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,,,Patinopecten,caurinus,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03311,1898283425,NA,NA,NA,,203116,MOL,NA,reported,Patinopecten caurinus,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03311)",Molluscs (Mollusca)
Tresus capax,"(Gould, 1850)",,fat gaper,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Mactroidea,Mactridae,Lutrariinae,,Tresus,capax,NA,,NA,native,unlisted,,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,NA,NA,2016-02-07,Peter Luckham,iNat:2763417,,126927,MOL,NA,confirmed,Tresus capax,Mollusca,confirmed,1993,2016,NA,2016,Peter Luckham,Charlie Gibbs,https://www.inaturalist.org/observations/2763417,2763417, (PMLS),Molluscs (Mollusca)
Tresus nuttallii,"(Conrad, 1837)",,Pacific gaper,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Mactroidea,Mactridae,Lutrariinae,,Tresus,nuttallii,NA,,NA,native,unlisted,,confirmed,observed,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00317,1898324818,2019-05-04,Emily Adamczyk,iNat:24698187,,117611,MOL,NA,confirmed,Tresus nuttallii,Mollusca,confirmed,1958,2019,NA,2019,Emily Adamczyk,Ian McTaggart-Cowan,https://www.inaturalist.org/observations/24698187,24698187," (RBCM, 979-00317)",Molluscs (Mollusca)
Zemysina impolita,"(S.S. Berry, 1953)",,rough diplodon,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Ungulinoidea,Ungulinidae,,,Zemysina,impolita,NA,,NA,native,unlisted,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00293,1898314726,NA,NA,NA,,1118984,MOL,NA,reported,Zemysina impolita,Mollusca,reported,1958,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-00293)",Molluscs (Mollusca)
Humilaria kennerleyi,"(Reeve, 1863)",,Kennerley's venus,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,,,Humilaria,kennerleyi,NA,,NA,native,unlisted,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00318-002,1898275723,NA,NA,NA,,873901,MOL,NA,reported,Humilaria kennerleyi,Mollusca,reported,1958,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-00318-002)",Molluscs (Mollusca)
Leukoma staminea,"(Conrad, 1837)",,Pacific littleneck clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,Chioninae,,Leukoma,staminea,NA,,NA,native,unlisted,,confirmed,observed,2007-10-14,Andy Lamb,PMLS,NA,NA,2016-09-01,Andrew Simon,iNat:4017301,,333608,MOL,NA,confirmed,Leukoma staminea,Mollusca,confirmed,2007,2016,NA,2016,Andrew Simon,Andy Lamb,https://www.inaturalist.org/observations/4017301,4017301, (PMLS),Molluscs (Mollusca)
Ruditapes philippinarum,"(Adams & Reeve, 1850)",,Japanese littleneck,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,,,Ruditapes,philippinarum,NA,,NA,non-native,unlisted,,new 2016,observed,NA,NA,NA,NA,NA,2016-08-21,Tyrel Froese,iNat:4004964,,343269,MOL,2016,new,Ruditapes philippinarum,Mollusca,new,NA,2016,2016,2016,Tyrel Froese,NA,https://www.inaturalist.org/observations/4004964,4004964,,Molluscs (Mollusca)
Saxidomus gigantea,"(Deshayes, 1839)",,Washington butter clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,,,Saxidomus,gigantea,NA,,NA,native,unlisted,,confirmed,observed,2006-06-23,Andy Lamb,PMLS,NA,NA,2016-08-17,Andrew Simon,iNat:3910100,,130233,MOL,NA,confirmed,Saxidomus gigantea,Mollusca,confirmed,2006,2016,NA,2016,Andrew Simon,Andy Lamb,https://www.inaturalist.org/observations/3910100,3910100, (PMLS),Molluscs (Mollusca)
Compsomyax subdiaphana,"(Carpenter, 1864)",,milky venus,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,,,Compsomyax,subdiaphana,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,NA,RBCM,976-01146-007,1898298969,NA,NA,NA,,957357,MOL,NA,reported,Compsomyax subdiaphana,Mollusca,reported,1961,NA,NA,NA,NA,NA,NA,NA," (RBCM, 976-01146-007)",Molluscs (Mollusca)
Entodesma navicula,"(Adams & Reeve, 1850)",,rock entodesma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Lyonsiidae,,,Entodesma,navicula,NA,,NA,native,unlisted,,confirmed,observed,1969-02-22,Andy Lamb,PMLS,NA,NA,2019-05-04,Isabelle M. Côté,iNat:129284392,,339164,MOL,NA,confirmed,Entodesma navicula,Mollusca,confirmed,1969,2019,NA,2019,Isabelle M. Côté,Andy Lamb,https://www.inaturalist.org/observations/129284392,129284392, (PMLS),Molluscs (Mollusca)
Lyonsia bracteata,"(Gould, 1850)",,scaly lyonsia,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Lyonsiidae,,,Lyonsia,bracteata,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03305,1898276441,NA,NA,NA,,1118981,MOL,NA,reported,Lyonsia bracteata,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03305)",Molluscs (Mollusca)
Mytilimeria nuttalli,"Conrad, 1837",,bladderclam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Lyonsiidae,,,Mytilimeria,nuttalli,NA,,NA,native,unlisted,,reported,unobserved,1985-07-29,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,873896,MOL,NA,reported,Mytilimeria nuttalli,Mollusca,reported,1985,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Molluscs (Mollusca)
Pandora filosa,"(Carpenter, 1864)",,threaded pandora,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Pandoridae,,,Pandora,filosa,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03302,NA,NA,NA,NA,,906400,MOL,NA,reported,Pandora filosa,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03302)",Molluscs (Mollusca)
Pandora wardiana,"A. Adams, 1860",,giant pandora,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Pandoridae,,,Pandora,wardiana,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03301,NA,NA,NA,NA,,906421,MOL,NA,reported,Pandora wardiana,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03301)",Molluscs (Mollusca)
Thracia trapezoides,"Conrad, 1849",,trapezoid thracia,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Thracioidea,Thraciidae,,,Thracia,trapezoides,NA,,NA,native,unlisted,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03313,1898304696,NA,NA,NA,,957343,MOL,NA,reported,Thracia trapezoides,Mollusca,reported,1961,NA,NA,NA,NA,Ian McTaggart-Cowan,NA,NA," (RBCM, 979-03313)",Molluscs (Mollusca)
Clathrina sp.,,,lattice-skin sponge,Animalia,Porifera,,,Calcarea,Calcinea,,Clathrinida,,,Clathrinidae,,,Clathrina,,NA,,NA,,,,reported,unobserved,2017-06-30,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,122021,POR,NA,reported,Clathrina sp.,Porifera,reported,2017,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Leucilla nuttingi,"(Urban, 1902)",,stalked vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Amphoriscidae,,,Leucilla,nuttingi,NA,,NA,native,unlisted,,confirmed,observed,1985-07-29,Andy Lamb,PMLS,NA,NA,2013-10-13,Peter Luckham,iNat:2975914,,117713,POR,NA,confirmed,Leucilla nuttingi,Porifera,confirmed,1985,2013,NA,2013,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2975914,2975914, (PMLS),Sponges (Porifera)
Leucandra heathi,"Urban, 1906",,bristly vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Grantiidae,,,Leucandra,heathi,NA,,NA,native,unlisted,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,345357,POR,NA,reported,Leucandra heathi,Porifera,reported,1971,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Leucosolenia eleanor,"Urban, 1906",,spaghetti sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Leucosoleniidae,,,Leucosolenia,eleanor,NA,,NA,native,unlisted,,confirmed,observed,2006-06-23,Andy Lamb,PMLS,NA,NA,2023-05-28,"Dave ""Zeuss"" Cochrane",iNat:164555199,,424817,POR,NA,confirmed,Leucosolenia eleanor,Porifera,confirmed,2006,2023,NA,2023,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/164555199,164555199, (PMLS),Sponges (Porifera)
Leucosolenia nautilia,"Laubenfels, 1930",,lacy ball sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Leucosoleniidae,,,Leucosolenia,nautilia,NA,,NA,native,unlisted,,confirmed,observed,1994-09-10,Andy Lamb,PMLS,NA,NA,2023-07-16,"Dave ""Zeuss"" Cochrane",iNat:173366513,,347319,POR,NA,confirmed,Leucosolenia nautilia,Porifera,confirmed,1994,2023,NA,2023,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/173366513,173366513, (PMLS),Sponges (Porifera)
Sycon sp.,,,tiny vase sponge,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Sycettidae,,,Sycon,,NA,,NA,,,,reported,unobserved,1994-10-07,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,347738,POR,NA,reported,Sycon sp.,Porifera,reported,1994,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Enteroctopus dofleini,"(Wülker, 1910)",,giant pacific octopus,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Octopodiformes,Octopoda,Incirrata,Octopodoidea,Enteroctopodidae,,,Enteroctopus,dofleini,NA,,NA,native,unlisted,,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,NA,NA,2007-10-23,Jackson W.F. Chu,iNat:8459014,,48863,MOL,NA,confirmed,Enteroctopus dofleini,Mollusca,confirmed,1993,2007,NA,2007,Jackson W.F. Chu,Charlie Gibbs,https://www.inaturalist.org/observations/8459014,8459014, (PMLS),Molluscs (Mollusca)
Octopus rubescens,"Berry, 1953",,Pacific red octopus,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Octopodiformes,Octopoda,Incirrata,Octopodoidea,Octopodidae,,,Octopus,rubescens,NA,,NA,native,unlisted,,reported,unobserved,1995-02-25,Charlie Gibbs,PMLS,NA,NA,NA,NA,NA,,47455,MOL,NA,reported,Octopus rubescens,Mollusca,reported,1995,NA,NA,NA,NA,Charlie Gibbs,NA,NA, (PMLS),Molluscs (Mollusca)
Berryteuthis magister,"(Berry, 1913)",,schoolmaster armhook squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Oegopsida,,,Gonatidae,,,Berryteuthis,magister,NA,,NA,native,unlisted,,reported,unobserved,1956-01-29,W. Barraclough,RBCM,978-00057-002,1898322476,NA,NA,NA,,432390,MOL,NA,reported,Berryteuthis magister,Mollusca,reported,1956,NA,NA,NA,NA,W. Barraclough,NA,NA," (RBCM, 978-00057-002)",Molluscs (Mollusca)
Rossia pacifica,"Berry, 1911",,stubby squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Sepiida,,,Sepiolidae,Rossiinae,,Rossia,pacifica,NA,,NA,native,unlisted,,reported,unobserved,1994-02-27,Charlie Gibbs,PMLS,NA,NA,NA,NA,NA,,151358,MOL,NA,reported,Rossia pacifica,Mollusca,reported,1994,NA,NA,NA,NA,Charlie Gibbs,NA,NA, (PMLS),Molluscs (Mollusca)
Bathydrilus litoreus,"Baker, 1983",,naidid worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae ,,Bathydrilus,litoreus,NA,,NA,native,unlisted,,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00598-001,1898264423,NA,NA,NA,,957359,WOR,NA,reported,Bathydrilus litoreus,Annelida,reported,1979,NA,NA,NA,NA,Randy Baker,NA,NA," (RBCM, 991-00598-001)",Segmented worms (Annelida)
Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",,naidid worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Limnodriloidinae,,Limnodriloides,victoriensis,NA,,NA,native,unlisted,,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00719-004,1898267514,NA,NA,NA,,957352,WOR,NA,reported,Limnodriloides victoriensis,Annelida,reported,1979,NA,NA,NA,NA,Randy Baker,NA,NA," (RBCM, 991-00719-004)",Segmented worms (Annelida)
Florometra serratissima,"A.H. Clark, 1907",,feather star,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,Antedonoidea,Antedonidae,Heliometrinae,,Florometra,serratissima,NA,,NA,native,unlisted,,confirmed,observed,1960-06-21,Dan Quayle,RBCM,009-00308-001,1898303669,2015-05-16,Peter Luckham,iNat:2854130,,195902,ECH,NA,confirmed,Florometra serratissima,Echinodermata,confirmed,1960,2015,NA,2015,Peter Luckham,Dan Quayle,https://www.inaturalist.org/observations/2854130,2854130," (RBCM, 009-00308-001)","Sea stars, urchins & kin (Echinodermata)"
Cliona californiana,"Laubenfels, 1932",,yellow boring sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,Clionaidae,,,Cliona,californiana,NA,,NA,native,unlisted,,confirmed,observed,1973-09-20,Andy Lamb,PMLS,NA,NA,2021-03-07,"Dave ""Zeuss"" Cochrane",iNat:70790700,,424811,POR,NA,confirmed,Cliona californiana,Porifera,confirmed,1973,2021,NA,2021,"Dave ""Zeuss"" Cochrane",Andy Lamb,https://www.inaturalist.org/observations/70790700,70790700, (PMLS),Sponges (Porifera)
Cliona celata,"Grant, 1826",,sulphur boring sponge,Animalia,Porifera,,,Demospongiae,,,Clionaida,,,Clionaidae,,,Cliona,celata,NA,,NA,native,unlisted,,new 2024,observed,NA,NA,NA,NA,NA,2024-08-16,"Dave ""Zeuss"" Cochrane",iNat:236228032,,117715,POR,2024,new,Cliona celata,Porifera,new,NA,2024,2024,2024,"Dave ""Zeuss"" Cochrane",NA,https://www.inaturalist.org/observations/236228032,236228032,,Sponges (Porifera)
Aplysilla polyraphis,"Laubenfels, 1930",,slippery purple sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,Aplysilla,polyraphis,NA,,NA,native,unlisted,,reported,unobserved,2008-11-12,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,216652,POR,NA,reported,Aplysilla polyraphis,Porifera,reported,2008,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Aplysilla sp.,,,slippery rose sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,Aplysilla,,NA,,NA,,,,reported,unobserved,1985-12-07,Andy Lamb,PMLS,NA,NA,NA,NA,NA,undescribed species,63646,POR,NA,reported,Aplysilla sp.,Porifera,reported,1985,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Pleraplysilla sp.,,,slippery white sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dictyoceratida,,,Dysideidae,,,Pleraplysilla,,NA,,NA,,,,reported,unobserved,2006-09-29,Andy Lamb,PMLS,NA,NA,NA,NA,NA,undescribed species,623055,POR,NA,reported,Pleraplysilla sp.,Porifera,reported,2006,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Polymastia pachymastia,"Laubenfels, 1932",,aggregated nipple sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Hadromerida,,,Polymastiidae,,,Polymastia,pachymastia,NA,,NA,native,unlisted,,confirmed,observed,1994-10-07,Andy Lamb,PMLS,NA,NA,2016-02-07,Peter Luckham,iNat:2763468,,117717,POR,NA,confirmed,Polymastia pachymastia,Porifera,confirmed,1994,2016,NA,2016,Peter Luckham,Andy Lamb,https://www.inaturalist.org/observations/2763468,2763468, (PMLS),Sponges (Porifera)
Adocia sp.,,,pale orange carpet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,,Adocia,,NA,,NA,,,,reported,unobserved,1994-09-10,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,464717,POR,NA,reported,Adocia sp.,Porifera,reported,1994,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Haliclona (Haliclona) sp.1,,,gnarled finger sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,,Haliclona,,NA,,NA,,,,reported,unobserved,2006-11-11,Andy Lamb,PMLS,NA,NA,NA,NA,NA,undescribed species,129864,POR,NA,reported,Haliclona (Haliclona) sp.1,Porifera,reported,2006,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Haliclona (Haliclona) sp.2,,,gnarled finger sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,,Haliclona,,NA,,NA,,,,reported,unobserved,1994-09-10,Andy Lamb,PMLS,NA,NA,NA,NA,NA,undescribed species,129864,POR,NA,reported,Haliclona (Haliclona) sp.2,Porifera,reported,1994,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Pachychalina sp.,,,thick-strap sponges,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Niphatidae,,,Pachychalina,,NA,,NA,,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,873877,POR,NA,reported,Pachychalina sp.,Porifera,reported,1985,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Xestospongia hispida,"(Ridley & Dendy, 1886)",,hard gnarled clump sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Petrosiidae,,,Xestospongia,hispida,NA,,NA,native,unlisted,,reported,unobserved,2005-12-10,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,873856,POR,NA,reported,Xestospongia hispida,Porifera,reported,2005,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
Acarnus erithacus,"Laubenfels, 1927",,thick encrusting scarlet sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Acarnidae,,,Acarnus,erithacus,NA,,NA,native,unlisted,,reported,unobserved,2008-08-29,Andy Lamb,PMLS,NA,NA,NA,NA,NA,,63669,POR,NA,reported,Acarnus erithacus,Porifera,reported,2008,NA,NA,NA,NA,Andy Lamb,NA,NA, (PMLS),Sponges (Porifera)
